"","kinds","efficiency","frequency","time","totaltime"
"445","diancilu",1500,90,0.375,33.75
"446","diancilu",1500,90,0.25,22.5
"447","diancilu",1500,90,0.875,78.75
"448","diancilu",1250,90,0.875,78.75
"449","dianshuihu",NA,90,0.375,33.75
"450","diancilu",1250,90,1.5,135
"451","dianfanguo",300,90,0.875,78.75
"452","diancilu",1250,60,0.625,37.5
"453","diancilu",850,90,0.625,56.25
"454","diancilu",1500,60,0.625,37.5
"455","dianfanguo",300,90,0.875,78.75
"456","dianfanguo",1250,30,0.625,18.75
"457","dianfanguo",1500,60,1.5,90
"458","diancilu",1250,60,0.875,52.5
"459","diancilu",1500,60,0.625,37.5
"460","diancilu",1250,90,0.875,78.75
"461","diancilu",850,90,0.625,56.25
"462","diancilu",1250,30,0.375,11.25
"463","diancilu",1250,60,0.625,37.5
"464","dianshuihu",300,90,0.375,33.75
"465","diancilu",1500,90,0.375,33.75
"466","diancilu",400,90,0.625,56.25
"467","diancilu",1500,90,0.875,78.75
"468","diancilu",1250,90,0.375,33.75
"469","diancilu",NA,90,0.875,78.75
"470","diancilu",1500,90,1.5,135
"471","diancilu",850,90,0.625,56.25
"472","diancilu",1250,90,0.625,56.25
"473","diancilu",1500,60,0.625,37.5
"474","dianfanguo",1250,90,0.625,56.25
"475","gaoyaguo",NA,90,0.375,33.75
"476","diancilu",850,90,0.375,33.75
"477","diancilu",1250,90,0.375,33.75
"478","diancilu",1250,90,3,270
"479","diancilu",600,60,0.375,22.5
"480","diancilu",400,90,0.875,78.75
"481","diancilu",1500,60,0.625,37.5
"482","diancilu",1250,90,0.625,56.25
"483","diancilu",1500,60,0.375,22.5
"484","gaoyaguo",600,12,0.625,7.5
"485","diancilu",1500,90,0.375,33.75
"486","diancilu",850,90,0.875,78.75
"487","diancilu",1500,90,0.625,56.25
"488","diancilu",400,90,0.375,33.75
"489","diancilu",1250,60,0.625,37.5
"490","diancilu",1250,90,0.375,33.75
"491","dianfanguo",1250,60,1.5,90
"492","diancilu",600,90,0.375,33.75
"493","diancilu",1250,90,0.625,56.25
"494","diancilu",400,90,0.875,78.75
