"","kinds","efficiency","frequency","time"
"7407","weibolu","850","60","0.625"
"7426","dianfanguo","300","90","0.625"
"7427","diancilu","1500","60","0.375"
"7439","diancilu","1500","90","0.875"
"7447","diancilu","1500","60","0.875"
"7452","diancilu","1500","90","0.375"
"7456","dianfanguo","300","60","0.375"
"7465","dianfanguo","600","60","0.875"
"7468","diancilu","1250","60","0.375"
"7474","diancilu","400","60","0.375"
"7482","diancilu","1250","60","0.625"
"7484","diancilu","600","60","0.875"
"7494","diancilu","1500","90","0.375"
"7505","dianfanguo","1500","60","0.625"
"7554","diancilu","1250","60","0.875"
"7555","dianfanguo","1500","90","1.5"
"7565","diancilu",NA,"90","0.625"
"7570","dianfanguo","1250","60","0.625"
"7572","dianfanguo","850","60","0.375"
"7611","diancilu","1500","60","0.25"
"7617","diancilu","1500","60","0.375"
"7627","diancilu","1250","90","0.625"
"7628","dianfanguo","600","60","0.375"
"7633","dianfanguo","400","60","0.375"
"7635","dianfanguo",NA,"90","1.5"
"7640","diancilu","1500","90","0.375"
"7644","dianfanguo","300","30","0.375"
"7647","diancilu","1250","60","0.625"
"7656","diancilu","1500","90","0.625"
"7661","diancilu","300","60","0.625"
"7676","diancilu",NA,"30","0.375"
"7694","diancilu","600","90","0.375"
"7697","dianfanguo","850","30","0.375"
"7715","diancilu","1500","90","0.875"
"7728","dianfanguo","400","90","0.375"
"7734","dianfanguo",NA,"60","0.25"
"7750","gaoyaguo","850","60","0.625"
"7765","dianfanguo","400","90","0.625"
"7772","dianfanguo","600","90","0.375"
"7810","dianfanguo","300","60","0.625"
"7822","dianfanguo","600","30","0.875"
"7827","dianfanguo","400","60","0.625"
"7842","diancilu","1500","60","0.375"
"7843","dianfanguo","600","60","0.375"
"7845","dianfanguo","850","90","0.375"
"7846","dianfanguo",NA,"60","0.625"
"7863","diancilu","1250","90","0.625"
"7866","dianfanguo","400","20","0.375"
"7872","dianfanguo",NA,"12","0.875"
"7905","dianfanguo","600","60","0.875"
"7908","diancilu","1500","90","0.375"
"7915","dianfanguo","400","60","0.625"
"7922","diancilu","1250","60","0.625"
"7948","diancilu","1500","60","0.375"
"7950","dianshuihu",NA,"90","0.25"
"7958","diancilu","1250","90","0.25"
"7965","dianshuihu",NA,"90","0.25"
"7981","dianshuihu","1500","90","0.25"
"7985","diancilu","1500","30","0.625"
"7988","dianfanguo","1250","60","0.875"
"8047","dianfanguo",NA,"60","0.625"
"8052","dianshuihu",NA,"90","0.25"
"8061","dianfanguo",NA,"60","0.625"
"8066","diancilu","600","30","0.375"
"8072","dianfanguo","1250","60","0.625"
"8087","diancilu",NA,"60","0.625"
"8102","diancilu","1250","4","0.625"
"8103","diancilu","1500","30","0.625"
"8121","gaoyaguo","1250","30","0.625"
"8122","dianshuihu","1250","90","0.25"
"8123","dianfanguo","600","30","0.375"
"8125","diancilu",NA,"20","0.375"
"8146","dianfanguo","400","60","0.625"
"8157","dianfanguo",NA,"60","0.625"
"8159","diancilu","1250","60","0.375"
"8161","dianshuihu",NA,"90","0.25"
"8191","dianshuihu","300","30","0.25"
"8192","dianfanguo","600","20","0.25"
"8215","dianfanguo","600","30","1.5"
"8217","diancilu",NA,"60","1.5"
"8226","dianfanguo","600","60","0.375"
"8274","dianfanguo",NA,"60","0.875"
"8277","dianfanguo","600","4","0.375"
"8280","diancilu","600","30","0.375"
"8282","gaoyaguo",NA,"60","1.5"
"8316","diancilu","1500","90","1.5"
"8320","dianshuihu","300","90","1.5"
